instance,best_obj,lower_bound,gap_percent,total_time
500_r0c14_nw1000_ew10_0.rgg,4550.0000,4550.0000,0.00,0.6894
500_r0c14_nw1000_ew10_1.rgg,4983.0000,4983.0000,0.00,0.7841
500_r0c14_nw1000_ew10_2.rgg,4798.0000,4798.0000,0.00,1.1575
500_r0c14_nw1000_ew10_3.rgg,4623.0000,4623.0000,0.00,0.6978
500_r0c14_nw1000_ew10_4.rgg,4722.0000,4722.0000,0.00,0.7028
500_r0c14_nw1000_ew10_5.rgg,4937.0000,4937.0000,0.00,0.9214
500_r0c14_nw1000_ew10_6.rgg,4769.0000,4769.0000,0.00,0.7637
500_r0c14_nw1000_ew10_7.rgg,4296.0000,4296.0000,0.00,0.5881
500_r0c14_nw1000_ew10_8.rgg,4838.0000,4838.0000,0.00,1.0338
500_r0c14_nw1000_ew10_9.rgg,5070.0000,5070.0000,0.00,0.5865
500_r0c14_nw100_ew100_0.rgg,13124.0000,12576.0000,4.18,1500.3566
500_r0c14_nw100_ew100_1.rgg,13340.0000,12690.0000,4.87,1503.8845
500_r0c14_nw100_ew100_2.rgg,13839.0000,13355.0000,3.50,1500.3395
500_r0c14_nw100_ew100_3.rgg,13244.0000,12604.0000,4.83,1501.8474
500_r0c14_nw100_ew100_4.rgg,13462.0000,12976.0000,3.61,1500.3189
500_r0c14_nw100_ew100_5.rgg,13173.0000,12841.0000,2.52,1500.3718
500_r0c14_nw100_ew100_6.rgg,13511.0000,13257.0000,1.88,1500.4881
500_r0c14_nw100_ew100_7.rgg,13402.0000,12801.0000,4.48,1500.4698
500_r0c14_nw100_ew100_8.rgg,13172.0000,12555.0000,4.68,1500.4543
500_r0c14_nw100_ew100_9.rgg,13407.0000,12862.0000,4.07,1500.3457
500_r0c14_nw10_ew1000_0.rgg,110638.0000,102728.0000,7.15,1500.5031
