instance,best_obj,lower_bound,gap_percent,total_time
200_r0c14_nw1000_ew10_0.rgg,4471.0000,4471.0000,0.00,0.1160
200_r0c14_nw1000_ew10_1.rgg,5473.0000,5473.0000,0.00,0.0845
200_r0c14_nw1000_ew10_2.rgg,5669.0000,5669.0000,0.00,0.0848
200_r0c14_nw1000_ew10_3.rgg,5721.0000,5721.0000,0.00,0.0810
200_r0c14_nw1000_ew10_4.rgg,4798.0000,4798.0000,0.00,0.0850
200_r0c14_nw1000_ew10_5.rgg,5900.0000,5900.0000,0.00,0.1008
200_r0c14_nw1000_ew10_6.rgg,6438.0000,6438.0000,0.00,0.0892
200_r0c14_nw1000_ew10_7.rgg,4216.0000,4216.0000,0.00,0.0803
200_r0c14_nw1000_ew10_8.rgg,4135.0000,4135.0000,0.00,0.0986
200_r0c14_nw1000_ew10_9.rgg,5585.0000,5585.0000,0.00,0.1132
200_r0c14_nw100_ew100_0.rgg,6189.0000,6189.0000,0.00,0.6983
200_r0c14_nw100_ew100_1.rgg,6149.0000,6149.0000,0.00,0.4715
200_r0c14_nw100_ew100_2.rgg,5638.0000,5638.0000,0.00,0.5151
200_r0c14_nw100_ew100_3.rgg,5605.0000,5605.0000,0.00,0.4372
200_r0c14_nw100_ew100_4.rgg,6305.0000,6305.0000,0.00,0.7325
200_r0c14_nw100_ew100_5.rgg,6014.0000,6014.0000,0.00,0.5947
200_r0c14_nw100_ew100_6.rgg,5946.0000,5946.0000,0.00,0.6321
200_r0c14_nw100_ew100_7.rgg,6237.0000,6237.0000,0.00,0.3980
200_r0c14_nw100_ew100_8.rgg,5867.0000,5867.0000,0.00,0.2818
200_r0c14_nw100_ew100_9.rgg,5636.0000,5636.0000,0.00,0.6061
200_r0c14_nw10_ew1000_0.rgg,42373.0000,42373.0000,0.00,0.4505
200_r0c14_nw10_ew1000_1.rgg,45400.0000,45400.0000,0.00,0.7062
200_r0c14_nw10_ew1000_2.rgg,43617.0000,43617.0000,0.00,0.9928
200_r0c14_nw10_ew1000_3.rgg,47999.0000,47999.0000,0.00,0.9742
200_r0c14_nw10_ew1000_4.rgg,44792.0000,44792.0000,0.00,0.8284
200_r0c14_nw10_ew1000_5.rgg,40396.0000,40396.0000,0.00,0.3912
200_r0c14_nw10_ew1000_6.rgg,44228.0000,44226.0000,0.00,0.4249
200_r0c14_nw10_ew1000_7.rgg,44559.0000,44559.0000,0.00,0.9583
200_r0c14_nw10_ew1000_8.rgg,39296.0000,39296.0000,0.00,0.6187
200_r0c14_nw10_ew1000_9.rgg,40097.0000,40097.0000,0.00,0.5639
